t-5,t-4,t-3,t-2,t-1,t
2778,2913,2645,3069,3079,2968
2913,2645,3069,3079,2968,1564
2645,3069,3079,2968,1564,2940
3069,3079,2968,1564,2940,2241
3079,2968,1564,2940,2241,2717
2968,1564,2940,2241,2717,2927
1564,2940,2241,2717,2927,3311
2940,2241,2717,2927,3311,2690
2241,2717,2927,3311,2690,2924
2717,2927,3311,2690,2924,2728
2927,3311,2690,2924,2728,3159
3311,2690,2924,2728,3159,3013
2690,2924,2728,3159,3013,2743
2924,2728,3159,3013,2743,2797
2728,3159,3013,2743,2797,3009
3159,3013,2743,2797,3009,2571
3013,2743,2797,3009,2571,3139
2743,2797,3009,2571,3139,2568
2797,3009,2571,3139,2568,3114
3009,2571,3139,2568,3114,2567
2571,3139,2568,3114,2567,2845
3139,2568,3114,2567,2845,2599
2568,3114,2567,2845,2599,2929
3114,2567,2845,2599,2929,1878
2567,2845,2599,2929,1878,2521
2845,2599,2929,1878,2521,2225
2599,2929,1878,2521,2225,2796
2929,1878,2521,2225,2796,2789
1878,2521,2225,2796,2789,2476
2521,2225,2796,2789,2476,2456
2225,2796,2789,2476,2456,2875
2796,2789,2476,2456,2875,2217
2789,2476,2456,2875,2217,3164
2476,2456,2875,2217,3164,2961
2456,2875,2217,3164,2961,2377
2875,2217,3164,2961,2377,1534
2217,3164,2961,2377,1534,3206
3164,2961,2377,1534,3206,2642
2961,2377,1534,3206,2642,3208
2377,1534,3206,2642,3208,2298
1534,3206,2642,3208,2298,2582
3206,2642,3208,2298,2582,2466
2642,3208,2298,2582,2466,1435
3208,2298,2582,2466,1435,2712
2298,2582,2466,1435,2712,2916
2582,2466,1435,2712,2916,2666
2466,1435,2712,2916,2666,2910
1435,2712,2916,2666,2910,2970
2712,2916,2666,2910,2970,2999
2916,2666,2910,2970,2999,2858
2666,2910,2970,2999,2858,2876
2910,2970,2999,2858,2876,3194
2970,2999,2858,2876,3194,2834
2999,2858,2876,3194,2834,2870
2858,2876,3194,2834,2870,2801
2876,3194,2834,2870,2801,2826
3194,2834,2870,2801,2826,3136
2834,2870,2801,2826,3136,2572
2870,2801,2826,3136,2572,2548
2801,2826,3136,2572,2548,3047
2826,3136,2572,2548,3047,2604
3136,2572,2548,3047,2604,3283
2572,2548,3047,2604,3283,2678
2548,3047,2604,3283,2678,2528
3047,2604,3283,2678,2528,2883
2604,3283,2678,2528,2883,2183
3283,2678,2528,2883,2183,3225
2678,2528,2883,2183,3225,2971
2528,2883,2183,3225,2971,3460
2883,2183,3225,2971,3460,3137
2183,3225,2971,3460,3137,2822
3225,2971,3460,3137,2822,2909
2971,3460,3137,2822,2909,2794
3460,3137,2822,2909,2794,2946
3137,2822,2909,2794,2946,3229
2822,2909,2794,2946,3229,2543
2909,2794,2946,3229,2543,2766
2794,2946,3229,2543,2766,3000
2946,3229,2543,2766,3000,2837
3229,2543,2766,3000,2837,2239
2543,2766,3000,2837,2239,3415
2766,3000,2837,2239,3415,2619
3000,2837,2239,3415,2619,2899
2837,2239,3415,2619,2899,3211
2239,3415,2619,2899,3211,2777